species	n_real_telotrons	mean_length	mean_purity	n_unique_genes	n_unique_contigs	template_strand	coding_strand	converging	unknown	n_protein_coding	mean_prev_exon	mean_next_exon	mean_n_exons
Eimeria_necatrix	55	143	0.922	46	45	19	36	0	0	55	126	169	10.5
Eriocheir_sinensis	17	84	0.934	8	8	5	12	0	0	3	489	1058	2.7
Eimeria_acervulina	14	77	0.879	14	14	2	12	0	0	14	255	110	9.1
Eimeria_tenella	9	53	0.916	9	9	5	4	0	0	9	86	142	8.1
Antennarius_striatus	8	2888	0.883	3	3	2	6	0	0	8	192	136	25.6
Stigmatopora_nigra	6	1608	0.863	1	1	0	6	0	0	6	213	112	41.0
Eimeria_maxima	5	71	0.917	5	5	4	1	0	0	5	100	221	7.0
Bemisia_tabaci	3	46	0.925	1	1	0	3	0	0	3	1304	248	3.0
Dunckerocampus_dactyliophorus	3	39	0.938	2	2	2	1	0	0	3	2975	1201	21.0
Notolabrus_celidotus	3	210	0.910	1	1	0	0	0	3	0	128	1174	3.0
Carassius_gibelio	3	36	0.916	1	1	0	0	0	3	3	494	377	13.0
Magnolia_sinica	3	107	0.909	2	2	0	2	0	1	0	161	111	3.7
Ciona_intestinalis	2	832	0.894	2	2	0	1	0	1	2	100	194	49.5
Thunnus_thynnus	2	2736	0.929	2	2	1	1	0	0	1	375	80	4.0
Podospora_pseudocomata	2	36	0.896	2	2	0	0	0	2	2	703	308	4.5
Neurospora_crassa_OR74A	2	116	0.974	1	1	0	0	0	2	2	265	106	5.0
Acanthamoeba_castellanii_str._Neff	2	206	0.919	2	2	0	1	0	1	2	195	196	12.0
Tetranychus_urticae	2	30	0.967	2	2	2	0	0	0	0	518	72	2.0
Eurytemora_carolleeae	2	362	0.905	2	2	0	1	0	1	2	72	76	18.5
Synchiropus_splendidus	2	2277	0.889	1	1	2	0	0	0	2	162	324	14.0
Pleuronectes_platessa	2	56	1.000	1	1	2	0	0	0	2	1266	1426	5.0
Salvelinus_namaycush	2	430	0.886	2	2	0	1	0	1	1	119	136	10.5
Monocercomonoides_exilis	1	79	0.949	1	1	1	0	0	0	1	478	2023	4.0
Guillardia_theta_CCMP2712	1	41	0.927	1	1	1	0	0	0	1	999	1104	2.0
Acropora_digitifera	1	5100	0.959	1	1	0	1	0	0	1	90	1233	2.0
Anguilla_rostrata	1	83	1.000	1	1	1	0	0	0	0	813	2098	3.0
Lonchura_striata	1	9595	0.937	1	1	1	0	0	0	1	178	198	14.0
Salvelinus_alpinus	1	102	0.863	1	1	1	0	0	0	1	466	965	9.0
Naegleria_fowleri	1	595	0.997	1	1	0	0	0	1	1	1367	58	2.0
Suillus_paluster	1	29	1.000	1	1	0	1	0	0	1	542	90	3.0
Apis_florea	1	64	0.906	1	1	0	0	0	1	1	1077	936	14.0
Linepithema_humile	1	85	1.000	1	1	1	0	0	0	1	1202	1114	2.0
Plutella_xylostella	1	35	0.886	1	1	0	1	0	0	0	57	1321	2.0
Acropora_palmata	1	60	0.950	1	1	0	0	0	1	1	599	121	4.0
Populus_alba	1	20117	0.935	1	1	0	1	0	0	1	227	114	9.0
Stigmatopora_argus	1	6769	0.871	1	1	1	0	0	0	1	96	171	52.0
Ostrinia_nubilalis	1	7455	0.869	1	1	1	0	0	0	1	3562	771	3.0
Episyrphus_balteatus	1	470	0.921	1	1	0	1	0	0	1	89	94	28.0
Hippocampus_zosterae	1	65	0.862	1	1	1	0	0	0	0	1139	1251	2.0
Gastrolobium_bilobum	1	39	0.872	1	1	0	0	0	1	1	207	111	4.0
Eleginops_maclovinus	1	900	0.871	1	1	0	0	0	1	1	46	101	27.0
Camelina_sativa	1	49	0.980	1	1	0	1	0	0	1	38	154	21.0
Embiotoca_jacksoni	1	30	0.967	1	1	1	0	0	0	1	3645	1890	3.0
Seriola_aureovittata	1	100	0.970	1	1	0	0	0	1	0	89	706	2.0
Etheostoma_cragini	1	33	0.879	1	1	0	0	0	1	0	976	1612	2.0
Chaetodon_trifascialis	1	36	0.917	1	1	0	0	0	1	1	1763	1334	5.0
Physella_acuta	1	465	0.899	1	1	1	0	0	0	0	90	110	3.0
Limanda_limanda	1	54	0.926	1	1	0	0	0	1	1	260	101	11.0
Leptinotarsa_decemlineata	1	75	0.867	1	1	1	0	0	0	1	1072	2039	5.0
Centropristis_striata	1	42	1.000	1	1	0	1	0	0	0	4101	1055	2.0
Esox_lucius	1	6285	0.863	1	1	0	1	0	0	1	53	219	24.0
Megalops_cyprinoides	1	2546	0.897	1	1	1	0	0	0	1	181	204	21.0
Brienomyrus_brachyistius	1	30	0.933	1	1	1	0	0	0	0	269	1114	3.0
Pseudochaenichthys_georgianus	1	1197	0.907	1	1	0	0	0	1	1	114	120	33.0
Notothenia_rossii	1	948	0.850	1	1	1	0	0	0	1	64	54	26.0
Macrosteles_quadrilineatus	1	40	0.950	1	1	1	0	0	0	1	1063	1665	12.0
Cnephaeus_nilssonii	1	35	0.886	1	1	0	0	0	1	0	2846	746	2.0
Ochotona_curzoniae	1	41	1.000	1	1	1	0	0	0	0	783	729	2.0
Octopus_bimaculoides	1	36	0.917	1	1	1	0	0	0	0	162	165	2.0
